BVP_mean,BVP_std,BVP_min,BVP_max,BVP_median,BVP_skew,BVP_kurt,BVP_p25,BVP_p75,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,TEMP_median,TEMP_skew,TEMP_kurt,TEMP_p25,TEMP_p75,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_x_median,ACC_x_skew,ACC_x_kurt,ACC_x_p25,ACC_x_p75,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_y_median,ACC_y_skew,ACC_y_kurt,ACC_y_p25,ACC_y_p75,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,ACC_z_median,ACC_z_skew,ACC_z_kurt,ACC_z_p25,ACC_z_p75,label,subject,cond
0.00016709541,1.2426081,-11.824256,6.0731897,-0.010412997,-3.2495773,35.619587,-0.4194604,0.45600766,1.6673615,0.038648073,1.4736426,2.114398,1.662458,6.0121865,61.401054,1.6566967,1.6710002,0.7208437,0.48367262,-1.8513232,4.7471576,0.72369367,1.8760896,13.952438,0.40181658,0.88463223,-1.3174102,1.0177743,-9.496941,2.1302392,-1.1101224,-6.290079,46.247063,-1.4913415,-0.9195129,-0.24356908,0.48112074,-3.0934122,1.2323723,-0.16304205,-1.6226944,7.3624096,-0.4421249,-0.023500614,0,S01,AEROBIC
-0.0029972761,0.5394211,-1.4874543,2.1841671,0.015647063,0.018696778,-0.07750964,-0.37391385,0.38430905,1.6585431,0.007847044,1.6381733,1.6773831,1.6589636,-0.053462822,0.3067932,1.6545899,1.6628034,0.62562174,0.3841132,-0.56381476,1.8502636,0.5627551,0.03442936,0.07729721,0.40181658,0.88463223,-1.2721405,0.33222514,-2.444389,-0.15707485,-1.3007319,-0.21278447,0.13831449,-1.4913415,-1.1101224,0.010367255,0.37013704,-1.0002906,1.0928309,-0.023500614,0.13156655,0.05625248,-0.3025835,0.25558224,0,S01,AEROBIC
-0.0027620536,0.51383895,-1.4076504,1.3676456,0.040082335,-0.20672299,-0.6392555,-0.36816695,0.38082445,1.6476293,0.009459518,1.6272088,1.6647207,1.6490109,-0.11695259,-0.86232567,1.6396396,1.6554375,0.53945255,0.3958181,-0.7247533,1.8502636,0.5627551,-0.025748106,-0.04484439,0.24087802,0.72369367,-1.2665809,0.3444613,-2.444389,-0.15707485,-1.3007319,-0.068955995,-0.0738008,-1.4913415,-1.1101224,0.18290444,0.37218997,-1.0002906,1.3719137,0.11604082,0.1152198,0.14679074,-0.023500614,0.3951237,0,S01,AEROBIC
0.0041842023,0.4994764,-1.2922761,1.047357,0.030509895,-0.24119367,-0.67163634,-0.35806155,0.38199323,1.6310313,0.01257309,1.6074495,1.6542052,1.6306946,-0.23191437,-0.80381393,1.621211,1.6400367,0.4802741,0.41482183,-1.3685075,1.689325,0.5627551,-0.18363802,0.15341687,0.24087802,0.72369367,-1.2594333,0.35280642,-2.6349986,0.6053632,-1.3007319,0.036209967,0.80894995,-1.4913415,-1.1101224,0.2917758,0.36041868,-0.8607492,1.5114552,0.25558224,0.19337729,0.16468,0.11604082,0.5346651,0,S01,AEROBIC
0.002953898,0.49378708,-1.167167,1.3298044,0.030509895,-0.155269,-0.66753507,-0.34793624,0.3758301,1.6106191,0.013136433,1.5848969,1.6336348,1.6095681,0.1073618,-1.2421814,1.5955592,1.6212074,0.4288073,0.44821456,-1.3685075,1.689325,0.40181658,-0.23676337,0.15795326,0.079939455,0.72369367,-1.2161489,0.40241873,-2.6349986,0.6053632,-1.3007319,0.28866366,0.60219216,-1.4913415,-0.9195129,0.36488968,0.372608,-0.8607492,1.5114552,0.3951237,0.16725285,0.22221518,0.11604082,0.67420655,0,S01,AEROBIC
-0.0019961202,0.48301855,-1.4225144,1.3298044,0.049953837,-0.21285836,-0.66165495,-0.35067236,0.36947078,1.5909642,0.011007834,1.5684463,1.6128938,1.5873557,0.43168312,-0.693717,1.5831664,1.5955384,0.38538742,0.40945858,-0.8856919,1.8502636,0.40181658,-0.10777907,0.20753527,0.079939455,0.72369367,-1.2612201,0.3801129,-2.2537794,0.22414418,-1.3007319,0.4224533,0.53078127,-1.4913415,-1.1101224,0.45922554,0.3592914,-0.8607492,1.5114552,0.3951237,-0.06804267,0.32322907,0.25558224,0.67420655,0,S01,AEROBIC
-0.0019424718,0.4672816,-1.4225144,0.95278525,0.042554975,-0.27810004,-0.67738175,-0.34894276,0.34305322,1.5728908,0.011514368,1.5478873,1.5878911,1.5733032,-0.8373809,-0.32353306,1.5687064,1.5831654,0.35940254,0.38347375,-0.7247533,1.8502636,0.40181658,0.123798884,0.14363265,0.079939455,0.5627551,-1.3575176,0.31911653,-2.444389,-0.34768435,-1.3007319,-0.059428833,0.06872034,-1.4913415,-1.1101224,0.5561778,0.33104908,-0.8607492,1.5114552,0.5346651,-0.11627639,0.37636662,0.3951237,0.813748,0,S01,AEROBIC
-0.00026227458,0.48648196,-1.6756349,1.3042401,0.024511259,-0.18059331,-0.37578344,-0.3559482,0.33919623,1.5528051,0.014136713,1.5279025,1.582026,1.54968,0.17336679,-1.2899534,1.5398098,1.568721,0.35940254,0.4387951,-1.0466304,1.689325,0.40181658,0.03365006,-0.23677278,0.079939455,0.72369367,-1.3646655,0.36716023,-2.6349986,-0.15707485,-1.3007319,0.028636452,-0.007898569,-1.6819509,-1.1101224,0.564463,0.3625735,-0.8607492,1.5114552,0.5346651,-0.15227643,0.41499162,0.3951237,0.813748,0,S01,AEROBIC
0.0024805248,0.5158272,-1.6756349,1.3042401,0.01616574,-0.10422027,-0.447155,-0.36475682,0.37201992,1.5281492,0.015906345,1.4997842,1.5639001,1.5298012,-0.124185845,-0.93893886,1.5187898,1.5398079,0.3704671,0.45923257,-1.0466304,1.689325,0.40181658,-0.0429557,-0.35038686,0.079939455,0.72369367,-1.3428248,0.40617344,-2.6349986,-0.15707485,-1.3007319,-0.04346034,-0.011273146,-1.6819509,-1.1101224,0.5374269,0.38083735,-0.8607492,1.6509966,0.5346651,-0.09549206,0.2334888,0.25558224,0.813748,0,S01,AEROBIC
-0.00015783422,0.5481578,-1.572788,1.2811456,-0.002977061,-0.121204354,-0.5692234,-0.37301064,0.414641,1.5059775,0.01259115,1.4776505,1.5326855,1.5049596,-0.055457614,-0.35147214,1.4999946,1.5187794,0.37013182,0.44117025,-0.8856919,2.011202,0.40181658,0.054866273,-0.12911248,0.079939455,0.72369367,-1.3350813,0.3944811,-2.6349986,-0.15707485,-1.3007319,-0.15681195,0.06156397,-1.6819509,-1.1101224,0.5262345,0.36816025,-0.7212078,1.6509966,0.5346651,0.018456949,0.17965841,0.25558224,0.813748,0,S01,AEROBIC
-0.004741281,0.52777225,-1.572788,1.2811456,0.020831661,-0.18025492,-0.29524136,-0.3466281,0.36437288,1.4852605,0.015227667,1.4479291,1.5070688,1.4831281,-0.24328177,-0.8958359,1.4712193,1.5002462,0.38270512,0.43217018,-1.207569,2.011202,0.40181658,0.049800195,0.15205789,0.079939455,0.72369367,-1.3837265,0.355002,-2.444389,-0.34768435,-1.3007319,-0.08754416,-0.121965885,-1.6819509,-1.1101224,0.52434486,0.36841506,-0.7212078,1.6509966,0.5346651,0.09158766,0.0716064,0.25558224,0.813748,0,S01,AEROBIC
0.0009018828,0.55420744,-2.7461348,2.439285,0.040644117,-0.048588473,2.3595548,-0.33554372,0.33987373,1.4617378,0.014038892,1.4383612,1.494374,1.4591022,0.41917506,-0.9406395,1.450313,1.4712164,0.38957852,0.43691957,-1.207569,1.8502636,0.40181658,-0.055313278,0.2286694,0.079939455,0.72369367,-1.4156933,0.35059276,-2.6349986,-0.34768435,-1.4913415,0.06228715,0.07464695,-1.6819509,-1.1101224,0.53902584,0.34958142,-0.4421249,1.5114552,0.5346651,0.099715486,-0.18150043,0.25558224,0.813748,0,S01,AEROBIC
0.00369806,0.57176155,-2.7461348,2.439285,0.04153098,-0.068604395,1.8699493,-0.36569828,0.36959374,1.4407561,0.011990732,1.4199587,1.4640235,1.4420099,-0.3233093,-1.1971482,1.426045,1.4503225,0.35604966,0.44152406,-1.207569,1.689325,0.40181658,-0.12303219,0.15169382,0.079939455,0.5627551,-1.3642685,0.3694895,-2.6349986,-0.15707485,-1.3007319,0.07620749,-0.07476115,-1.6819509,-1.1101224,0.56402695,0.32933873,-0.3025835,1.790538,0.5346651,0.12102554,-0.011403322,0.3951237,0.813748,0,S01,AEROBIC
0.0009716179,0.51840025,-1.5023896,1.2482505,0.03275967,-0.15355061,-0.5357027,-0.38700184,0.38867372,1.4203304,0.014798291,1.3897824,1.4528713,1.4216064,-0.087585345,-0.6363485,1.4094584,1.4261999,0.3022358,0.44338685,-1.207569,1.689325,0.40181658,-0.03133812,-0.026610136,-0.0809991,0.5627551,-1.2499027,0.37226507,-2.2537794,-0.15707485,-1.3007319,0.045642268,-0.30717254,-1.4913415,-0.9195129,0.58553964,0.34009185,-0.4421249,1.790538,0.5346651,0.12523271,0.07470441,0.3951237,0.813748,0,S01,AEROBIC
-0.002816532,0.5181591,-1.4638762,1.5471547,0.0058545256,-0.03065761,-0.3139584,-0.3716426,0.37618148,1.3963383,0.016182303,1.369936,1.4270802,1.3933043,0.20315589,-1.0049539,1.3810905,1.4094396,0.265857,0.44537264,-1.207569,1.689325,0.24087802,-0.0053970907,0.020488739,-0.0809991,0.5627551,-1.1853734,0.36609587,-2.2537794,-0.15707485,-1.1101224,-0.083157286,-0.36443424,-1.4913415,-0.9195129,0.6083604,0.36801547,-0.4421249,1.6509966,0.5346651,0.12154104,-0.030818224,0.3951237,0.813748,0,S01,AEROBIC
-0.0029711686,0.6400466,-2.2022877,4.244899,-0.010290705,0.87820774,5.552809,-0.3639177,0.3752706,1.3709584,0.016595114,1.3324015,1.4031935,1.3713847,-0.4244378,-0.6817696,1.3609005,1.3812165,0.33894998,0.48428077,-1.207569,2.011202,0.40181658,0.10317658,0.2611518,0.079939455,0.5627551,-1.2084056,0.36487356,-2.2537794,0.41475368,-1.1101224,-0.0665059,-0.0851028,-1.4913415,-0.9195129,0.48102888,0.5796845,-2.1166222,1.790538,0.5346651,-1.2924725,2.785573,0.25558224,0.813748,0,S01,AEROBIC
0.0057843816,0.6066323,-2.2022877,4.244899,0.01739781,0.9609236,7.0669365,-0.357884,0.36434862,1.343967,0.017873235,1.3192387,1.3842566,1.3368016,0.4861063,-0.9978411,1.3310958,1.3609005,0.66686225,0.5109242,-1.207569,2.011202,0.72369367,-0.17935343,-0.057053328,0.40181658,1.0455707,-1.2866348,0.35530853,-2.2537794,0.41475368,-1.3007319,-0.0044236113,0.07169962,-1.4913415,-1.1101224,-0.10446372,0.70216733,-2.1166222,1.790538,-0.16304205,0.077563964,-0.6477299,-0.58166635,0.5346651,0,S01,AEROBIC
0.002205783,0.43217725,-1.1082183,1.4164323,0.042917617,-0.22266845,-0.5607686,-0.3029419,0.32028422,1.3169042,0.0142948525,1.29001,1.3384333,1.3203615,-0.13344693,-1.2762532,1.3019603,1.3310958,0.8920086,0.4178073,-0.4028762,2.333079,0.88463223,0.11289741,-0.06347513,0.5627551,1.2065094,-1.3336914,0.34763902,-2.2537794,-0.34768435,-1.3007319,-0.12646258,-0.36746478,-1.4913415,-1.1101224,-0.5102967,0.42601755,-1.6979978,0.9532894,-0.58166635,-0.011598218,-0.16321135,-0.8607492,-0.16304205,0,S01,AEROBIC
-0.0037032838,0.46904254,-1.4407313,1.7461678,0.012261016,-0.04356453,0.031544447,-0.30863416,0.33148336,1.2922865,0.015739983,1.2543421,1.3230078,1.2949721,-0.3320714,-0.76799655,1.2811513,1.3022153,0.733417,0.47794324,-0.7247533,2.333079,0.72369367,0.11570726,0.02727604,0.40181658,1.0455707,-1.2953709,0.36187792,-3.3974366,0.033534665,-1.3007319,-0.14810923,1.012301,-1.4913415,-1.1101224,-0.19225855,0.5343824,-1.6979978,1.5114552,-0.16304205,-0.13667288,-0.34807086,-0.58166635,0.25558224,0,S01,AEROBIC
-0.0016903763,0.47835964,-1.4407313,1.7461678,0.010938833,-0.054584205,-0.04039359,-0.31736687,0.34092247,1.2618986,0.021285234,1.2139498,1.3038304,1.2570794,0.107590675,-1.0434921,1.2425404,1.2811484,0.5979604,0.46858132,-0.8856919,2.333079,0.5627551,0.21301858,0.07448006,0.24087802,0.88463223,-1.3203886,0.36430395,-3.3974366,0.033534665,-1.3007319,-0.20455912,1.0546188,-1.4913415,-1.1101224,0.12519823,0.43190426,-1.139832,1.5114552,0.11604082,-0.20157155,-0.030943155,-0.16304205,0.3951237,0,S01,AEROBIC
-0.0021367236,0.45446587,-1.1652119,1.0724976,0.06330097,-0.28509238,-0.6928103,-0.33715394,0.33468127,1.2253671,0.022295868,1.1736808,1.2580184,1.2311897,-0.37096494,-0.6621437,1.211285,1.2425338,0.6078514,0.46452057,-0.8856919,2.333079,0.5627551,0.060773768,-0.12688828,0.24087802,0.88463223,-1.3819394,0.3391223,-2.2537794,-0.5382939,-1.3007319,-0.19807456,-0.3585906,-1.6819509,-1.1101224,0.13828023,0.42940214,-1.139832,1.3719137,0.11604082,-0.012773803,-0.055981636,-0.16304205,0.3951237,0,S01,AEROBIC
0.0025790732,0.46381378,-1.043314,1.474322,0.039948013,-0.06693111,-0.5284176,-0.32641277,0.3423785,1.1921098,0.019711513,1.1531767,1.2350489,1.1919999,0.22681735,-0.92326546,1.1763802,1.2112802,0.5630904,0.49506584,-1.0466304,2.333079,0.5627551,0.01886768,0.28678823,0.24087802,0.88463223,-1.3934555,0.38061413,-3.2068272,0.22414418,-1.3007319,-0.43674487,1.3582344,-1.6819509,-1.1101224,0.19118969,0.5023688,-1.4189149,1.9300795,0.11604082,0.24267264,0.49702263,-0.16304205,0.5346651,0,S01,AEROBIC
0.0026052373,0.47375292,-1.2072427,1.7449402,0.026826017,0.13114828,-0.06846762,-0.34701958,0.3388223,1.1610233,0.018918874,1.129832,1.1951627,1.1616948,0.09658778,-1.0984327,1.1429152,1.1768754,0.47239482,0.5334789,-1.207569,2.333079,0.5627551,0.06893405,0.08600426,0.079939455,0.88463223,-1.3646655,0.4226489,-3.2068272,0.22414418,-1.3007319,-0.1616947,1.0429516,-1.6819509,-1.1101224,0.34512132,0.51998955,-1.4189149,1.9300795,0.3951237,0.0035573274,0.29494572,-0.023500614,0.67420655,0,S01,AEROBIC
